canon,target_type,fold
C1C(=O)N(C(=O)C1C(C)c1ccccc1)CCN(c1ccc(cc1)N=Nc1ccc(cc1)[N+](=O)[O-])CC,tg,2
C1C(=O)N(C(=O)C1C(C)c1ccccc1)c1ccc(cc1)NC(=O)OCC1N(CCC1)c1ccc(cc1)[N+](=O)[O-],tg,1
C1C(=O)N(C(=O)C1CC)C,tg,0
C1C(=O)N(C(=O)C1CC)CC,tg,2
C1C(=O)N(C(=O)C1CC)CCCCCCCCCCCC,tg,1
C1C(=O)N(C(=O)C1CC)CCCCCCCCCCCCCCCC,tg,0
C1C(=O)N(C(=O)C1CC)CCCCNC(=O)C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,tg,2
C1C(=O)N(C(=O)C1CC)c1ccc(cc1)N(C)C,tg,1
C1C(=O)OC(=O)C(C1)C,tg,0
C1C(=O)OC(=O)C1,egb,0
C1C(=O)OC(=O)C1,egc,0
C1C(=O)OC(=O)C1C(C)(N=C=O)C,tg,2
C1C(=O)OC(=O)C1C(C)OC(C)C,tg,1
C1C(=O)OC(=O)C1C(C)OC1CCCCC1,tg,0
C1C(=O)OC(=O)C1C(C)OCC,tg,2
C1C(=O)OC(=O)C1C(C)OCCCC,tg,1
C1C(=O)OC(=O)C1C(C)c1ccccc1,tg,0
C1C(=O)OC(=O)C1C1C2CC(C(=O)OC3CCCCC3)C(C2)C1,egc,2
C1C(=O)OC(=O)C1C1C2CC(C(C1)C2)C(=O)OC1CCCCC1,tg,1
C1C(=O)OC(=O)C1C1C2CC(C(C1)C2)COCCC,tg,0
C1C(C(C(C1)(O)C(F)(F)F)(F)F)(C(C)(F)F)F,tg,2
C1C(C(C(C1)C)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,tg,1
C1C(C(C(C1)C=C)(OC(C(C(F)(F)F)(F)F)(F)F)F)(F)F,tg,0
C1C(C(C(C1)C=C)C(=O)OC(C)(C)C)C(=O)OC(C)(C)C,tg,2
C1C(C(C(C1)C=C)C(=O)OC)C(=O)OC,tg,1
C1C(C(C(C1)C=C)C(=O)OCCCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)C(=O)OCCCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,tg,0
C1C(C(C(C1)C=C)C(=O)OCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)C(=O)OCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N,tg,2
C1C(C(C(C1)C=C)C(=O)Oc1ccccc1)C(=O)Oc1ccccc1,tg,1
C1C(C2CC(C1C2))CCCCCC,tg,0
C1C(CC(C1)C(O)(C(F)(F)F)C(F)(F)F)(C(C)(F)F)F,tg,2
C1C(CC(C1)C=C)(CCC)C#N,tg,1
C1C(CC(C1)C=C)(CCCC)C#N,tg,0
C1C(CC(C1)C=C)(C[Si](C)(C)C)C#N,tg,2
C1C(CC(C1)C=C)([Si](C)(C)C)C#N,tg,1
C1C(CC(C1)C=C)([Si](O[Si](C)(C)C)(C)C)C#N,tg,0
C1C(CC(C1)C=C)([Si](O[Si](O[Si](C)(C)C)(C)C)(C)C)C#N,tg,2
C1C(CC(C1)C=C)C(=O)OCCCCCCCCOc1ccc(cc1)C=Cc1ccc(cc1)[N+](=O)[O-],tg,1
C1C(CC(C1)C=C)C(=O)OCCN(C)C,tg,0
C1C(CC(C1)C=C)C(=O)OCCNC(C)(C)C,tg,2
C1C(CC(C1)C=C)C1CC=CCC1,tg,1
C1C(CC(C1)C=C)[Si](C)(C)C,tg,0
C1C(CC(C1)OC(=O)CCCCCCCCCCOc1ccc(cc1)c1ccc(cc1)C#N)CC,tg,2
C1C2C(C(=O)N(C2=O)CCC)C(C1)C=C,tg,1
C1C2C(C(=O)N(C2=O)CCCCCCC)C(C1)C=C,tg,0
C1C2C(C(=O)N(C2=O)CCCCCCCC)C(C1)C=C,tg,2
C1C2C(C(=O)N(C2=O)CCCCCCCCC)C(C1)C=C,tg,1
C1C2C(C(=O)N(C2=O)CCCCCCCCCC)C(C1)C=C,tg,0
C1C2C(C(=O)N(C2=O)CCCCCCCCCCCC)C(C1)C=C,tg,2
C1C2C(C(=O)N(C2=O)c2c(cccc2)C)C(C1)C=C,tg,1
C1C2C(C(=O)N(C2=O)c2c(cccc2)Cl)C(C1)C=C,tg,0
C1C2C(C(=O)N(C2=O)c2cc(ccc2)Cl)C(C1)C=C,tg,2
C1C2C(C(=O)N(C2=O)c2cc(ccc2)F)C(C1)C=C,tg,1
C1C2C(C(=O)N(C2=O)c2ccc(cc2)Br)C(C1)C=C,tg,0
C1C2C(C(C(C1)C2)C(=O)OCC12CC3CC(CC(C1)C3)C2)C(=O)OCC12CC3CC(CC(C1)C3)C2,tg,2
C1C2C(C(C(C1)C2)C(=O)OCCC12CC3CC(CC(C1)C3)C2)C(=O)OCCC12CC3CC(CC(C1)C3)C2,tg,1
C1C2C(C(C(C1)C2)C(=O)OCCC1C2CCC(C1)C2)C(=O)OCCC1C2CCC(C1)C2,tg,0
C1C2C(C(C(C1)C2)C(=O)OCCCc1ccccc1)C(=O)OCCCc1ccccc1,tg,2
C1C2C(C(C(C1)C2)C(=O)OCc1ccccc1)C(=O)OCc1ccccc1,tg,1
C1C2C(C(C(C1)C2)COCc1ccccc1)COCc1ccccc1,tg,0
C1C2C(C(C1)CC)C1C(CC2C1)c1ccc(cc1)COC(CC)C,tg,2
C1C2C3C(C=CC3)C(C1)C2,tg,1
C1C2C=CC(C1C(=O))C2,tg,0
C1C2CC(=CC)C(C2)C1,egc,2
C1C2CC(C(C1)C2)C,tg,1
C1C2CC(C(C1)C2)C(=O)OCCc1ccc(cc1)N(c1cc(ccc1)C)c1ccccc1,tg,0
C1C2CC(C(C1)C2)C(=O)OCCc1ccc(cc1)N(c1ccccc1)c1ccccc1,tg,2
C1C2CC(C(C1)C2)CCCCc1ccccc1,tg,1
C1C2CC(C(C1)C2)[Si](C)(C)C,tg,0
C1C2CC(C)C(C2)C1,egc,2
C1C2CCC(C2)C1,egc,1
C1C=C(C)C()S1,egc,0
C1C=C(CCCCCC)C()S1,egc,2
C1C=CC()C1,egc,1
C1C=CC()CC1,egc,0
C1CC()OC(O)O1,egc,2
C1CC(C)(C)OC1,egc,1
C1CC(CC1),tg,0
C1CC(CC1)C=C,tg,2
C1CC2C3CC4C(C3)C24C1,egc,1
C1CC2CC(CC(C1)O2)OC(=O)NC1CCC(CC1)CC1CCC(CC1)NC(=O)O,tg,0
C1CC2CC(CC(C1)O2)OC(=O)O,tg,2
C1CC2CC(CC(C1)O2)OC(=O)Oc1ccc(cc1)S(=O)(=O)c1ccc(cc1)OC(=O)O,tg,1
C1CC2CC1C()C2CCCC,egc,0
C1CCC2C()CCC12,egc,2
C1CCN(CC1)C(=C(c1ccc(cc1)C(=O)OCC)C#N)c1ccc(cc1)OC,tg,1
C1CCN(CC1)c1sc(cc1)C=CC1=CC(=C(C#N)C#N)C=C(O1)C=Cc1sc(cc1)N1CCC(CC1)OC(=O)Nc1c(ccc(c1)NC(=O)O)C,tg,0
C1CN(CCC1)C(=C(c1ccc(cc1)C(=O)OC)C#N)c1ccc(cc1)OC,tg,2
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCC(=O)NC(C(=O)O)C(CC)C)C(CC)C,tg,1
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCC(=O)NC(C(=O)O)C)C,tg,0
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCC(=O)NC(C(=O)O)CC(C)C)CC(C)C,tg,2
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCC(=O)NC(C(=O)O)CCSC)CCSC,tg,1
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCC(=O)NC(C(=O)O)Cc1ccccc1)Cc1ccccc1,tg,0
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCC(=O)NC(C(=O)O)C)C,tg,2
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCCC(=O)NC(C(=O)O)C)C,tg,1
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCCC(=O)NC(C(=O)O)Cc1ccccc1)Cc1ccccc1,tg,0
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCCCCC(=O)NC(C(=O)O)C)C,tg,2
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCCCCC(=O)NC(C(=O)O)CC(C)C)CC(C)C,tg,1
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCCCCC(=O)NC(C(=O)O)CCSC)CCSC,tg,0
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCCCCC(=O)NC(C(=O)O)Cc1ccccc1)Cc1ccccc1,tg,2
C1COC2C1OCC2OC(=O)C(NC(=O)CCCCCCCCCCC(=O)NC(C(=O)O)Cc1ccccc1)Cc1ccccc1,tg,1
C1COC2C1OCC2OC(=O)C=CC(=O)O,tg,0
C1COC2C1OCC2OC(=O)CNC(=O)CCCCCCCCC(=O)NCC(=O)O,tg,2
C1COC2C1OCC2OC(=O)O,tg,1
C1COC2C1OCC2OC(=O)OCC(C(COC(=O)O)O)O,tg,0
C1COC2C1OCC2OC(=O)OCC1OC(OC1COC(=O)O)(C)C,tg,2
C1COC2C1OCC2OC(=O)OCCCCCCCCCCOC(=O)O,tg,1
C1COC2C1OCC2OC(=O)OCCCCCCCCOC(=O)O,tg,0
C1COC2C1OCC2OC(=O)OCCCCCCOC(=O)O,tg,2
C1COC2C1OCC2OC(=O)OCCCCOC(=O)O,tg,1
C1COC2C1OCC2OC(=O)OCCOCCOC(=O)O,tg,0
C1COC2C1OCC2OC(=O)OCCOCCOCCOC(=O)O,tg,2
C1COC2C1OCC2OC(=O)OCCOCCOCCOCCOC(=O)O,tg,1
C1COC2C1OCC2OC(=O)c1cc(ccc1)OCCCCCCCCOc1cc(ccc1)C(=O)O,tg,0
C1COC2C1OCC2OC(=O)c1ccc(cc1)C(=O)O,tg,2
C1COC2C1OCC2Oc1ccc(cc1)CNC(=O)CCCCC(=O)NCc1ccc(cc1)O,tg,1
C1COC2C1OCC2Oc1ccc(cc1)NC(=O)CCCCCCC(=O)Nc1ccc(cc1)O,tg,0
C1COC2C1OCC2Oc1ccc(cc1)NC(=O)c1ccc(cc1)C(=O)Nc1ccc(cc1)O,tg,2
C1COC2C1OCC2Oc1ccc(cc1)NC(=O)c1ccc(cc1)OC1COC2C1OCC2Oc1ccc(cc1)C(=O)Nc1ccc(cc1)O,tg,1
C1C[N+](CC1CC)(C)C,tg,0
C1N(CC(C1)OC(=O))C(=O)OCc1ccccc1,tg,2
C1OC(=O)C(C1)CCC1C(=O)OC(C1)CCCCC=CCCCC,tg,1
C1OC(C(C(C1NC(=O)C)O)O)CO,tg,0
C1OC(C(C(C1O)O)O)CO,tg,2
C1OC(C(C(C1O)O)O)COCO,tg,1
C1OC(C(C(C1OC(=O)C)O)O)COC(=O)C,tg,0
C1OC(C(C(C1OC(=O)Nc1ccccc1)OC(=O)Nc1ccccc1)O)COC(=O)Nc1ccccc1,tg,2
C1OC(C(C(C1OCC)OCC)O)COCC,tg,1
C1OC(CCC1)NC(=O),tg,0
C1OC(CO1)COC(=O)CCCCCCC,tg,2
C1OC(OC(C1)C)CCC,tg,1
C1OC(OC1COC(=O)OC)(C)C,tg,0
C1OC(OC1COC(=O)OC)OCC,tg,2
C1OC2C(C1OC(=O)OC)OC(O2)(C)C,tg,1
C1OCC(CO1)(COC(=O)CCCCCCC)C,tg,0
C1OCC(CO1)OC(=O)CCCCCCC,tg,2
C1OCC(OC1)CNC(=O)CCCCC(=O)NC,tg,1
C1OCC(OC1)CNC(=O)CCCCCCCCC(=O)NC,tg,0
C1OCC2(CO1)COC(OC2)CCCCCCCC(=O)OCCOC(=O)CCCCCCC,tg,2
C1OCCC1,tg,1
C1OCCCC1C1C(=O)OC(=O)C1,tg,0
C1OCOC(C1(F)F)C()(F)F,tg,2
C1OCOC(C1)C,tg,1
C1SC(C=C1CCCCCC),tg,0
C1c2c(CC1)cccc2,tg,2
C1c2c(OC1)cccc2,tg,1
C1c2c3c(cccc3ccc2)C1,tg,0
C=C,tg,2
C=C()C#N,egb,1
C=C()CO,egc,0
C=C()c1cc(C(F)(F)F)oc1C(F)(F)F,egc,2
C=C()c1ccc(C(=O)Oc2c(F)c(F)c(F)c(F)c2F)cc1,egc,1
C=C()c1ccc(NC=O)cc1,egc,0
C=C()c1ccc([N+](=O)[O-])cc1,egc,2
C=C()c1cccc(Br)c1,egc,1
C=C()c1cccc(C#C)c1,egc,0
C=C()c1cccc([Si](C)(C)C)c1,egc,2
C=C()c1cccc2ccccc12,egc,1
C=C()c1cccc[n+]1CC#C,egc,0
C=C()c1ccccc1C(F)(F)F,egc,2
C=C()c1cccs1,egc,1
C=C()c1ccsc1,egc,0
C=C(C(C)(F)F)F,tg,2
C=C(F)C(F)(F)C,egc,1
C=C1CCC(=Cc2ccc()cc2)C1=O,egc,0
C=C1CCC(=Cc2ccc(Sc3ccc()o3)o2)C1=O,egc,2
C=CC(=C(C)C)C()=C(C)C,egc,1
C=CC(=O)C(C)=Cc1ccc(Sc2ccc()o2)o1,egc,0
C=CC(C()C(=O)OC)C,tg,2
C=CC(C()C(=O)OCC)C(=O)OCC,tg,1
C=CC(C()C(=O)OCCCN(c1ccc(cc1)N(C)C)C)C,tg,0
C=CC(C()C(=O)OCc1ccccc1)C(=O)OCc1ccccc1,tg,2
C=CC(C()COCc1ccccc1)COCc1ccccc1,tg,1
C=CC(C(=O)OC(C)C)C()C(=O)OC(C)C,egc,0
C=CC(C(=O)OC)C()c1ccccc1,egc,2
C=CC(C)(C)C()(C)C,egc,1
C=CC(C)(C)CC(C#N)C,egb,2
C=CC(C)(C)CC(C#N)C,egc,2
C=CC(C)=C(C)C=Cc1ccc(-c2ccc()s2)s1,egc,0
C=CC(C)C,egc,2
C=CC(C)C()C(=O)OCC(C)C,egc,1
C=CC(C)C()C(=O)OCCCC,egb,1
C=CC(C)C()C(=O)OCCCC,egc,1
C=CC(C)CCCCCCCCC,egc,0
C=CC(C)COCC(=O)OCCCCCCCCOc1ccc(cc1)C=Cc1ccc(cc1)[N+](=O)[O-],tg,2
C=CC(C)OC,egc,0
C=CC(C)OC,tg,0
C=CC1=C(O)C(O)=C()C1,egc,1
C=CC1CC()C(C#N)(CC)C1,egc,0
C=CC1CC()C(C#N)(CCC)C1,egb,2
C=CC1CC()C(C#N)(C[Si](C)(C)C)C1,egc,1
C=CC1CC()C(C(=O)OC)C1C(=O)OC,egc,0
C=CC1CC()C(C(=O)OCCNC(C)(C)C)C1,egb,2
C=CC1CC()C(C(=O)OCCNC(C)(C)C)C1,egc,2
C=CC1CC()C(C(F)(F)F)(C(F)(F)F)C1(F)F,egc,2
C=CC1CC()C(F)(F)C1(F)OC(F)(F)C(F)(F)C(F)(F)F,egc,1
C=CC1CC()C2(Cl)OC(=O)OC12Cl,egc,0
C=CC1CC()C2C(=O)N(CCC)C(=O)C12,egc,2
C=CC1CC()C2C(=O)N(CCCCCCCCC)C(=O)C12,egb,1
C=CC1CC()C2C(=O)N(CCCCCCCCC)C(=O)C12,egc,1
C=CC1CC()C2C(=O)N(c3cc(C(F)(F)F)cc(C(F)(F)F)c3)C(=O)C12,egc,1
C=CC1CC()C2C(=O)N(c3ccc(C)cc3)C(=O)C12,egc,0
C=CC1CC()C2C(=O)N(c3cccc(C)c3)C(=O)C12,egc,2
C=CC1CC()C2C3CCC(C3)C12,egc,1
C=CC1CC()C2CC=CC12,egb,0
C=CC1CC()C2CC=CC12,egc,0
C=CC1CC()C2CCCC12,egc,0
C=CC1CCC()C1,egc,2
C=CC=CC=CC=C()CCS(=O)(=O)O,egc,1
C=CC=CCC,egc,0
C=CCC,egc,2
C=CCC,tg,2
C=CCC(C)(C(=O)OC12CC3CC(CC(C1)C3)C2)C(=O)OC12CC3CC(CC(C1)C3)C2,tg,2
C=CCCC,egc,1
C=CCCCC,egb,1
C=CCCCC,egc,1
C=CCCCC(CCC)Cl,tg,0
C=CCCCC(Cl)CCC,egc,2
C=CCCCCC,egc,1
C=CCCCCCCC(CCCCCC)Cl,tg,0
C=CCCCCCCCCCC,egc,0
C=CCCCCCCCCCC,tg,0
C=CCCCCCCCCCC(CCCCCCCCC)COCCOCCOCCOCCOCc1c2ccc3cccc4ccc(cc1)c2c34,tg,2
C=CCCCCCCCCCC(CCCCCCCCC)Cl,tg,1
C=CCCCCCCCCCC(Cl)CCCCCCCCC,egc,0
C=Cc1cc(CCCCCC)c(-c2sc()cc2CCCCCC)s1,egc,2
C=Cc1cc(Cl)c()cc1Cl,egc,1
C=Cc1cc(OC)c()cc1Br,egc,0
C=Cc1cc(OC)c(C=Cc2ccc()s2)cc1OC,egc,2
C=Cc1cc(OCC)c()cc1OCC,egc,1
C=Cc1cc(OCCCCCC)c()cc1OC,egc,0
C=Cc1ccc()c(C(=O)OC)c1C(=O)OC,egc,2
C=Cc1ccc()c(F)c1,egc,1
C=Cc1ccc()c2ccc(CCCCCC)cc12,egc,0
C=Cc1ccc()c2ccc(CCCCCCCCCCC)cc12,egc,2
C=Cc1ccc()c2occc12,egc,1
C=Cc1ccc()c2sccc12,egc,0
C=Cc1ccc()n1CCCCCC,egb,2
C=Cc1ccc()n1CCCCCC,egc,2
C=Cc1ccc()n1CCCCCCCCCCCC,egc,2
C=Cc1ccc()nc1,egc,1
C=Cc1ccc()s1,egc,0
C=Cc1ccc(-c2ccc()s2)s1,egc,2
C=Cc1ccc(-c2ccc(C=Cc3cc()ncn3)cc2)cc1,egc,1
C=Cc1ccc(C=Cc2cc()ncn2)cc1,egc,0
C=Cc1ccc2c(c1)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc()ccc1-2,egc,2
C=Cc1cccc(C=Cc2cc()nc(-c3ccccc3)n2)c1,egc,1
C=Cc1cccc(C=Cc2cc()ncn2)c1,egc,0
C=Cc1csc(C=Cc2cccc()n2)c1CCCCCC,egc,2
C=Cc1sc()c2c1OC(CCCCCC)CO2,egc,1
C=NCCCCCCN=Cc1ccc(Sc2ccc()o2)o1,egc,0
C=NCCN=Cc1ccc(Sc2ccc()o2)o1,egc,2
C=NN=Cc1cc(CCCCCCCCCCCC)c()s1,egc,1
C=Nc1ccc(N=Cc2ccc(Sc3ccc()o3)o2)cc1,egc,0
C=Nc1ccc(S(=O)(=O)c2ccc(N=Cc3ccc(Sc4ccc()o4)o3)cc2)cc1,egc,2
C=Nc1cccc(N=Cc2cccc()n2)c1,egc,1
C=c1ccc(=c2ccc(=Cc3ccc()s3)s2)s1,egb,0
C=c1ccc(=c2ccc(=Cc3ccc(-c4ccc()s4)s3)s2)s1,egc,2
CC#CC#CCOC(=O)CCC(=O)O,egc,1
CC#CC#CCOC(=O)NCCCCCCNC(=O)O,egc,0
CC#CC#CCOC(=O)Nc1ccc(Cc2ccc(NC(=O)O)cc2)cc1,egc,2
CC#CC#CCOc1ccc(-c2ccc(O)cc2)cc1,egc,1
CC#CC#CCOc1ccc(C(C)(C)c2ccc(O)cc2)cc1,egc,0
CC#CCOC(=O)CCC(=O)O,egc,2
CC#CCOC(=O)CCCCCCC(=O)O,egc,1
CC#CCOC(=O)CCCCCCCCC(=O)O,egc,0
CC#CCOC(=O)CCCCCCCCCCC(=O)O,egc,2
CC()(Br)Br,egc,1
CC()(C#N)C#N,egb,0
CC()(C#N)C(=O)OCC,egc,2
CC()(C#N)C(=O)OCCCCCCC,egc,1
CC()(C)C#N,egb,1
CC()(C)C#N,egc,1
CC()(C)C(=O)Nc1cccc(-c2nnc(-c3ccccc3)o2)c1,egc,0
CC()(C)C(=O)OC,egc,2
CC()(C)C(=O)OC(C(F)(F)F)C(F)(F)F,egb,1
CC()(C)C(=O)OC(CC)OCC,egc,0
CC()(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,egb,0
CC()(C)C(=O)OC(F)(C(F)(F)F)C(F)(F)F,egc,0
CC()(C)C(=O)OCC,egb,2
CC()(C)C(=O)OCC(=O)N1CCCC1,egc,1
CC()(C)C(=O)OCC(F)(F)C(F)F,egb,2
CC()(C)C(=O)OCC(F)(F)C(F)F,egc,2
CC()(C)C(=O)OCC(F)(F)F,egc,0
CC()(C)C(=O)OCCBr,egc,2
CC()(C)C(=O)OCCC#N,egb,1
CC()(C)C(=O)OCCC1CCCCC1,egc,0
CC()(C)C(=O)OCCCCn1c2ccccc2c2ccccc21,egc,2
CC()(C)C(=O)OCC[N+](=O)[O-],egc,1
CC()(C)C(=O)OCCc1ccccc1,egb,1
CC()(C)C(=O)OCCc1ccccc1,egc,1
CC()(C)C(=O)OCc1ccc(Cl)cc1,egc,0
CC()(C)C(=O)OCc1ccc(Cl)cc1Cl,egc,2
CC()(C)C(=O)OCc1ccc2c(c1)c1ccccc1n2CC,egc,1
CC()(C)C(=O)OCc1cccs1,egc,0
CC()(C)C(=O)Oc1ccc2ccccc2c1,egc,2
CC()(C)C(=O)Oc1ccccc1,egb,0
CC()(C)C(=O)Oc1ccccc1,egc,0
CC()(CF)C(=O)OC,egc,1
CC()(CO)C(=O)OCC,egc,0
CC()(Cl)C#N,egc,2
CC()(Cl)Cl,egc,1
CC()(F)C(=O)OC,egc,0
CC()(F)C(=O)OCC(Cl)(Cl)Cl,egc,2
CC()(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egc,1
CC()(F)C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,egb,0
CC()(F)C(=O)OCC(F)(F)C(F)(F)F,egc,2
CC()(F)C(=O)OCCC,egc,1
CC()(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egb,2
CC()(F)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egc,2
CC()(F)Cl,egc,0
CC()(F)F,eea,2
CC()(F)F,ei,2
CC()(F)F,eps,2
CC()(F)F,nc,2
CC()=C,egc,2
CC()C,eea,0
CC()C,egb,0
CC()C,ei,0
CC()C,eps,0
CC()C,nc,0
CC()C#N,egc,1
CC()C(=O)C(C)(C)C,egc,0
CC()C(=O)N(CCC)CCC,egc,2
CC()C(=O)N(O)c1cccc(C)c1,egc,1
CC()C(=O)NC,egc,0
CC()C(=O)NCC,egc,2
CC()C(=O)NCC(F)(F)C(F)(F)C(F)(F)F,egc,1
CC()C(=O)NCCC,egc,0
CC()C(=O)NCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egc,2
CC()C(=O)Nc1ccccc1Cl,egb,1
CC()C(=O)OC(C)C,egb,1
CC()C(=O)OC(C)C,egc,1
CC()C(=O)OC(C)CC(C)C,egc,0
CC()C(=O)OC(OCC)C(F)(F)F,egc,2
CC()C(=O)OC1CCCCC1,egc,1
CC()C(=O)OCC,egc,0
CC()C(=O)OCC(C)C,egc,2
CC()C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egb,0
CC()C(=O)OCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egc,0
CC()C(=O)OCC(F)(F)C(F)(F)C(F)(F)F,egc,1
CC()C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egb,2
CC()C(=O)OCC(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)F,egc,2
CC()C(=O)OCC(F)(F)C(F)(F)OC(F)(F)F,egc,0
CC()C(=O)OCC(F)(F)C(F)C(F)(F)F,egc,2
CC()C(=O)OCC=C,egc,1
CC()C(=O)OCCC#N,egc,0
CC()C(=O)OCCCCC,egc,2
CC()C(=O)OCCCCCCSCC#N,egc,1
CC()C(=O)OCCCCSC,egc,0
CC()C(=O)OCCCSCC,egb,2
CC()C(=O)OCCO,egc,1
CC()C(=O)OCCOCC1(CC)COC1,egc,0
CC()C(=O)OCCSCC#N,egc,2
CC()C(=O)Oc1ccc(C#N)cc1,egc,1
CC()C(=O)Oc1ccc(Cl)cc1,egc,0
CC()C(=O)Oc1ccc(OC)cc1,egc,2
CC()C(=O)c1ccc(Br)c(OC)c1,egc,1
CC()C(=O)c1ccc(Br)cc1,egc,0
CC()C(=O)c1ccc(CC)cc1,egc,2
CC()C(=O)c1ccccc1O,egc,1
CC()C(=O)n1sc2ccccc2c1=O,egc,0
CC()C(F)(F)C(F)(F)C(F)(F)F,egc,2
CC()C(F)(F)F,egc,1
CC()C(N)=O,egb,0
CC()CC,egb,2
CC()CC(C)C,egc,1
CC()CCC,egb,1
CC()CCC,egc,1
CC()CCCC1CCCCC1,egc,0
CC()CCc1ccc(C)cc1,egc,2
CC()CN,egc,1
CC()CO,egb,0
CC()CO,egc,0
CC()F,egb,1
CC()F,ei,1
CC()F,eps,1
CC()N,egc,0
CC()N1CCCC1=O,egb,2
CC()N1CCCC1=S,egc,1
CC()OC(=O)C(C)(C)C,egc,0
CC()OC(=O)C(F)(F)C(F)(F)F,egc,2
CC()OC(=O)CC1CCCC1,egb,2
CC()OC(=O)CC1CCCC1,egc,2
CC()OC(=O)CCC,egc,1
CC()OC(=O)CCC#N,egc,0
CC()OC(=O)OCC(F)(F)F,egb,1
CC()OC(=O)OCC(F)(F)F,egc,1
CC()OC(=O)c1ccc(OC(C)=O)cc1,egc,2
CC()OC(=O)c1ccc(OC)cc1,egc,1
CC()OC(=O)c1cccc(Cl)c1,egc,0
CC()OC(=O)c1cccnc1,egc,2
CC()OC(C)=O,egb,0
CC()OC(C)=O,egc,0
CC()OC=O,egc,1
CC()OCC(=O)OC,egc,0
CC()OCCCCC,egc,2
CC()OCCCCCCCCCCCC,egc,1
CC()OCCCl,egc,0
CC()OCCOc1ccc(C=C(C#N)C(=O)OC)cc1,egc,2
CC()OCc1ccccc1,egc,1
CC()SC,egc,0
CC()c1c(F)c(F)c(OC)c(F)c1F,egc,2
CC()c1cc(C)ccc1C,egc,1
CC()c1cc(OC)ccc1OC,egc,0
CC()c1ccc(C(=O)CCN2CCCCC2)cc1,egc,2
CC()c1ccc(C(=O)CCN2CCOCC2)cc1,egc,1
CC()c1ccc(C(=O)Cc2ccccc2)cc1,egc,0
CC()c1ccc(C(=O)OCC(C)C)cc1,egb,2
CC()c1ccc(C(=O)c2ccccc2)cc1,egc,1
CC()c1ccc(C(O)CCN2CCOCC2)cc1,egc,0
CC()c1ccc(C)cc1C,egc,2
CC()c1ccc(C)nc1,egc,1
CC()c1ccc(CCCCCC)cc1,egc,0
CC()c1ccc(CCl)cc1,egc,2
CC()c1ccc(Cl)c([N+](=O)[O-])c1,egc,1
CC()c1ccc(F)cc1,egc,0
CC()c1ccc2c(c1)OCO2,egc,2
CC()c1ccc2ccccc2c1,egc,1
CC()c1cccc(C)c1,egc,0
CC()c1cccc2c1OCO2,egc,2
CC()c1ccncc1,egc,1
CC()c1nc(C)nc(C)n1,egc,0
CC()n1c(C)c(C)c2ccccc21,egc,2
CC()n1cc2ccccc2n1,egc,1
CC()n1ccc2ccccc21,egc,0
CC()n1nnc2ccccc21,egc,2
CC(=O)C()C,egc,1
CC(=O)C(=S)C()=O,eea,1
CC(=O)C(=S)C()=O,egb,1
CC(=O)C(=S)C()=O,ei,1
CC(=O)C(=S)C()=O,eps,1
CC(=O)C(=S)C(S1)=CC=C1,egc,0
CC(=O)C(=S)O,eea,0
CC(=O)C(=S)O,egb,0
CC(=O)C(=S)O,ei,0
